url,type,label,url_length,domain_length,path_length,num_dots,num_slashes,num_digits,num_special_chars,num_subdomains,has_https,has_ip,has_at_symbol,has_double_slash,query_length,num_query_params
br-icloud.com.br,phishing,2,16,16,0,2,0,0,0,1,0,0,0,0,0,0
mp3raid.com/music/krizz_kaliko.html,benign,0,35,11,24,2,2,1,1,0,0,0,0,0,0,0
bopsecrets.org/rexroth/cr/1.htm,benign,0,31,14,17,2,3,1,0,0,0,0,0,0,0,0
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,1,88,21,10,3,3,7,10,1,0,0,0,0,49,4
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkP,defacement,1,200,23,10,2,3,18,7,0,0,0,0,0,159,3
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,0,118,11,100,2,5,1,0,0,0,0,0,0,0,0
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,0,45,11,34,2,6,4,1,1,0,0,0,0,0,0
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,0,46,18,1,1,1,0,2,0,0,0,0,0,26,1
http://www.pashminaonline.com/pure-pashminas,defacement,1,44,22,15,2,3,0,0,1,0,0,0,0,0,0
allmusic.com/album/crazy-from-the-heat-r16990,benign,0,45,12,33,1,2,5,0,0,0,0,0,0,0,0
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,0,62,19,43,2,3,7,0,0,0,0,0,0,0,0
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,1,64,20,37,3,5,4,0,1,0,0,0,0,0,0
myspace.com/video/vid/30602581,benign,0,30,11,19,1,3,8,0,0,0,0,0,0,0,0
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,1,61,32,22,4,4,1,0,1,0,0,0,0,0,0
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,1,51,21,14,3,3,2,2,1,0,0,0,0,8,1
http://larcadelcarnevale.com/catalogo/palloncini,defacement,1,48,21,20,1,4,0,0,0,0,0,0,0,0,0
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,0,44,21,23,3,3,0,1,1,0,0,0,0,0,0
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,0,52,9,20,2,1,7,4,0,0,0,0,0,22,2
